sheet_name	field_name	field_label	data_type	is_required	role_category	used_as_ai_input	used_as_ai_output	used_as_human_input	used_as_human_review	used_as_system_control	step_scope	description	example_value	notes
00_Project	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
00_Project	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
00_Project	project_status	project_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	current_step	current_step	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	run_enabled	run_enabled	boolean_or_flag	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
00_Project	rights_status	rights_status	string	N	HUMAN_REVIEW	Y	Y	N	Y	N	all	承認・確認・レビューに使う	APPROVED	role_sync=done
00_Project	title_jp	title_jp	string	Y	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる	桃太郎	role_sync=done
00_Project	title_en	title_en	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	series_name	series_name	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	episode_no	episode_no	number	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	source_title	source_title	string	Y	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる	桃太郎	role_sync=done
00_Project	source_url	source_url	url	Y	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる	https://www.aozora.gr.jp/cards/000329/files/18376_12100.html	role_sync=done
00_Project	target_age	target_age	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	video_format	video_format	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	aspect_short	aspect_short	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	aspect_full	aspect_full	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	short_target_sec	short_target_sec	number	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	full_target_sec	full_target_sec	number	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	visual_style	visual_style	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	owner	owner	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	created_at	created_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	updated_at	updated_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	updated_by	updated_by	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	notes	notes	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
